name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Cadence sensor,Garmin,Cadence Sensor 2,Bike Gear,12,g,35,,https://buy.garmin.com/de-DE/DE/p/641212,
Bike computer,Hammerhead,Karoo 2,Electronics,132,g,0,,https://www.eu.hammerhead.io/pages/karoo2,
Cycling Short Bibs,,,Clothing,0,g,0,,,
Hiking Trousers - Short,,,Clothing,279,g,0,,,
Cycling Jersey,,,Clothing,0,g,0,,,
Cycling Base Layer,BTWIN,,Clothing,84,g,0,,,
Speed sensor,Garmin,Speed Sensor 2,Bike Gear,15,g,35,,https://buy.garmin.com/de-DE/DE/p/641230,
Cycling shoes,Northwave,Origin Plus,Footware,821,g,105,,https://www.amazon.de/-/en/Northwave-Origin-Cycling-Shoes-Yellow/dp/B07HMXFQKY,
Bike lock + mount,Abus,BORDO GRANIT XPlus 6500,Bike Gear,1187,g,0,,https://www.abus.com/Sicherheit-Unterwegs/Fahrradsicherheit/Fahrradschloesser/Faltschloesser/BORDO-GRANIT-XPlus-6500,
Head lamp,Nitecore,NU20,Electronics,47,g,38,,https://www.nitecorestore.com/Nitecore-NU20-LED-Rechargeable-Headlamp-p/fl-nite-nu20.htm,
Towel,Sea to Summit,Airlite L,Toiletries,47,g,23,,https://seatosummitusa.com/products/airlite-towel?variant=19511819305063,
Powerbank,Anker,PowerCore Essential 20000 PD,Electronics,345,g,46,,https://www.amazon.de/gp/product/B08LG2X98F/ref=ppx_yo_dt_b_asin_title_o08_s01?ie=UTF8&psc=1,
Headset,AfterShokz,Aeropex by AfterShokz,Electronics,103.3,g,118.95,,https://www.aftershokz-headphones.com/aeropex/,
Towel,PackTowl,PackTowl Personal towel XXL,Toiletries,290,g,29,,https://www.amazon.de/-/en/gp/product/B01N64LPJT/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&th=1&psc=1,
Cycling Socks - Summer,Darn Tough,1437 No Show Lightweight Athletic Sock,Footware,42,g,38,,https://darntough.com/collections/height-no-show/products/mens-merino-wool-1437-no-show-lightweight-athletic-socks,
Thermal water bottle,,,Water System,287.6,g,0,,,
Coffee grinder,Porlex,Mini Metal Coffee Grinder,Cookware,256,g,64,,,
Hiking sticks,Trekology,TREKOLOGY Trek-Z,Miscellaneous,539,g,35,,https://www.amazon.de/-/en/gp/product/B07Q6BZQZC/ref=ppx_od_dt_b_asin_title_s00?ie=UTF8&th=1&psc=1,
Action camera,DJI,Osmo Action,Camera,155,g,235,,https://www.dji.com/de/osmo-action,
Osmo Action case,PGYTECH,Mini Carrying Case,Camera,229,g,13.29,,https://www.amazon.de/-/en/gp/product/B07KVZQN9L/ref=ppx_od_dt_b_asin_title_s02?ie=UTF8&psc=1,
